red_mean,green_mean,blue_mean
132.0087,117.5111,95.7363
142.1556,125.0039,103.7225
133.3815,118.9205,96.6739
142.1739,124.7252,103.3829
130.5592,116.4262,95.0826
142.6903,125.0874,103.4809
131.4671,117.3584,95.3245
142.3811,124.5193,103.149
131.9199,117.9337,97.1504
142.091,124.1168,103.0068
133.3631,119.1288,97.8932
141.7114,123.4798,101.9117
132.1404,117.9083,96.5278
126.2006,114.4321,99.7157
132.6683,118.4278,97.0922
125.3602,113.7527,99.2097
132.8009,119.667,100.2159
124.9266,113.2005,98.7172
131.4166,118.9091,101.295
125.1587,113.577,99.0139
132.1404,119.3631,101.6598
125.9076,114.1347,99.5066
135.8292,123.4341,105.4185
126.7089,115.1278,100.4659
140.3505,126.3729,105.2333
126.9533,115.4653,100.732
144.9836,130.2672,107.4904
127.2966,115.6621,100.7033
145.5242,130.2045,107.0981
127.7678,115.9381,100.8138
144.851,129.0228,104.9289
128.0896,116.1427,100.8927
142.3116,127.0409,103.1358
127.5417,115.4216,100.3189
141.692,125.8723,101.6623
128.8103,117.0059,101.9065
141.9307,125.9223,101.2372
128.3505,116.6008,101.6465
142.4865,126.5373,101.6257
127.9795,116.3986,101.6851
142.8784,127.0834,102.2467
127.3835,115.6864,100.9789
144.0936,128.4722,103.7194
127.2701,115.5814,100.9442
144.9588,130.066,105.9255
129.9354,118.5545,103.5922
143.0586,128.6217,105.5722
128.2161,117.0846,102.179
140.4108,126.6984,104.5718
129.417,118.2525,103.4825
137.5074,123.6159,101.5131
133.6228,122.5319,107.1
134.4139,119.7361,96.4894
130.9282,120.1313,105.7544
131.3764,116.7345,94.3254
128.9475,118.0009,103.5016
131.9938,117.1043,94.0541
129.1122,117.9962,103.8025
131.8545,117.22,94.251
129.0693,117.8562,103.5863
131.304,116.6775,93.8764
129.6664,119.0137,104.487
130.576,116.1416,93.6252
130.1361,119.3508,104.8378
133.9503,118.6661,94.3416
130.9787,119.9631,105.1552
135.7604,119.7201,94.775
131.9207,120.9363,105.8786
135.4696,118.5005,93.0997
130.7203,119.6669,104.8124
135.7537,118.8475,93.5354
131.3708,120.2227,104.9794
135.4862,118.053,91.6011
131.9341,120.6014,105.4265
135.5851,117.7888,91.1947
131.2524,119.8824,104.2763
135.7315,118.6849,92.4264
130.8644,119.6621,104.4329
139.3556,122.37,95.6288
